full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,116484,116484,19396,110,110,23,https://github.com/anthropics/claude-code
claude-code-best/claude-code,16563,16563,15315,42,42,9,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,162754,162754,25280,325,325,43,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2050,2050,5764,1,1,4,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,2722,2722,4158,16,16,10,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,55346,55346,9119,110,110,23,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8967,8967,14527,5,5,-3,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2236,2236,3061,5,5,3,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1514,1514,2396,4,4,1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1225,1225,2201,8,8,3,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,40016,40016,3313,53,53,5,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,64,64,7315,1,1,2,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,47070,47070,4628,68,68,8,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32649,32649,2603,22,22,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24824,24824,2458,16,16,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,765,765,1119,0,0,2,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,178,178,2273,0,0,1,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3031,3031,3758,3,3,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2180,2180,3485,1,1,1,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17862,17862,2038,21,21,3,https://github.com/VoltAgent/awesome-claude-code-subagents
Donchitos/Claude-Code-Game-Studios,14717,14717,2088,175,175,30,https://github.com/Donchitos/Claude-Code-Game-Studios
anthropics/claude-code-action,7195,7195,1742,1,1,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9207,9207,1650,18,18,2,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9533,9533,1215,11,11,2,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1845,1845,1385,30,30,5,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8767,8767,655,5,5,0,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,289,289,585,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,757,757,1739,1,1,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2194,2194,2191,4,4,5,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7853,7853,579,4,4,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,959,959,1960,5,5,10,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5814,5814,535,0,0,1,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2874,2874,665,15,15,3,https://github.com/lintsinghua/claude-code-book
OneRedOak/claude-code-workflows,3782,3782,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,557,557,1287,0,0,-1,https://github.com/huangserva/claude-code-cli
anthropics/skills,121463,121463,14125,198,198,37,https://github.com/anthropics/skills
1rgs/claude-code-proxy,3464,3464,456,2,2,0,https://github.com/1rgs/claude-code-proxy
alex000kim/claude-code,218,218,324,0,0,0,https://github.com/alex000kim/claude-code
777genius/claude-code-source-code,899,899,1121,1,1,1,https://github.com/777genius/claude-code-source-code
xorespesp/claude-code,219,219,305,0,0,1,https://github.com/xorespesp/claude-code
disler/claude-code-hooks-mastery,3544,3544,598,0,0,0,https://github.com/disler/claude-code-hooks-mastery
VineeTagarwaL-code/claude-code,272,272,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
qwibitai/nanoclaw,27614,27614,12523,12,12,16,https://github.com/qwibitai/nanoclaw
zebbern/claude-code-guide,3964,3964,378,2,2,2,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7666,7666,386,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1414,1414,575,3,3,0,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,3776,3776,515,9,9,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zstmfhy/Claude-code,191,191,285,-1,-1,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5277,5277,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2355,2355,404,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2466,2466,353,4,4,-1,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,124,124,292,0,0,1,https://github.com/freestylefly/claude-code
Alishahryar1/free-claude-code,2004,2004,373,2,2,2,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-security-review,4334,4334,386,2,2,-1,https://github.com/anthropics/claude-code-security-review
nicedreamzapp/claude-code-local,1772,1772,357,27,27,4,https://github.com/nicedreamzapp/claude-code-local
wanshuiyin/Auto-claude-code-research-in-sleep,7151,7151,666,28,28,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
RichardAtCT/claude-code-telegram,2474,2474,344,5,5,0,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,1954,1954,521,3,3,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
sickn33/antigravity-awesome-skills,34301,34301,5668,65,65,9,https://github.com/sickn33/antigravity-awesome-skills
chiragjoshi12/claude-code,188,188,230,0,0,0,https://github.com/chiragjoshi12/claude-code
alejandrobalderas/claude-code-from-source,1667,1667,515,3,3,2,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2585,2585,291,6,6,-1,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2625,2625,289,2,2,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,166,166,220,1,1,0,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,208,208,207,0,0,-1,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,372,372,614,0,0,1,https://github.com/AprilNEA/claude-code-source
isboyjc/claude-code,155,155,213,2,2,0,https://github.com/isboyjc/claude-code
anthropics/claude-code-base-action,797,797,599,-1,-1,-1,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,27660,27660,4574,85,85,11,https://github.com/router-for-me/CLIProxyAPI
forrestchang/andrej-karpathy-skills,70072,70072,6354,1494,1494,189,https://github.com/forrestchang/andrej-karpathy-skills
https-deeplearning-ai/sc-claude-code-files,491,491,681,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
luyao618/Claude-Code-Source-Study,1204,1204,478,3,3,0,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,952,952,359,3,3,0,https://github.com/repowise-dev/claude-code-prompts
JrCx7scC/claude-code-source,355,355,526,1,1,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,1367,1367,417,5,5,3,https://github.com/rohitg00/awesome-claude-code-toolkit
bfly123/claude_code_bridge,2316,2316,217,5,5,0,https://github.com/bfly123/claude_code_bridge
edmund-io/edmunds-claude-code,1406,1406,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,30432,30432,2820,69,69,9,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3676,3676,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
snarktank/ralph,17539,17539,1744,23,23,4,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,17470,17470,2066,25,25,2,https://github.com/anthropics/claude-plugins-official
eyaltoledano/claude-task-master,26622,26622,2485,12,12,0,https://github.com/eyaltoledano/claude-task-master
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3423,3423,661,8,8,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,491,491,392,1,1,0,https://github.com/AICoderTudou/claude-code-tudou
lowcortisolprogrammer/claude-code,172,172,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
